date,Historical,LSTM_F5_Nothing,GRU_F5_Nothing,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_XGBTI15,GRU_F5_XGBTI15
2021-02-04,9.470000267028807,9.802963256835938,9.416359901428224,9.628788948059082,9.652567863464355,9.338473320007324,9.3868989944458,9.448283195495604,9.519783020019533,9.45787239074707,9.503069877624512
2021-02-05,9.420000076293944,9.867263793945312,9.48036003112793,9.569543838500977,9.657408714294434,9.381200790405273,9.465838432312012,9.491950988769533,9.565020561218262,9.497448921203613,9.520999908447266
2021-02-17,9.489999771118164,9.869425773620604,9.450691223144533,9.497659683227539,9.577881813049316,9.397700309753418,9.43899917602539,9.423050880432127,9.490700721740724,9.48206615447998,9.467961311340332
2021-02-18,10.399999618530273,9.877649307250977,9.4511079788208,9.600835800170898,9.622830390930176,9.412496566772461,9.442435264587402,9.394588470458984,9.462828636169434,9.499391555786133,9.482487678527832
2021-02-19,10.300000190734863,10.442380905151367,10.154014587402344,10.20033073425293,9.98188018798828,9.86495876312256,10.10702419281006,10.088349342346193,10.327409744262695,10.088333129882812,10.218703269958496
2021-02-22,10.399999618530273,10.781827926635742,10.384464263916016,10.360590934753418,10.105490684509276,10.225427627563477,10.383803367614746,10.466816902160645,10.5341157913208,10.31689739227295,10.352249145507812
2021-02-23,10.600000381469727,10.813684463500977,10.342290878295898,10.4953031539917,10.13429069519043,10.310635566711426,10.31916046142578,10.417831420898438,10.468822479248047,10.325265884399414,10.346075057983398
2021-02-24,10.949999809265137,11.024867057800293,10.604177474975586,10.641961097717283,10.343660354614258,10.464447975158693,10.561910629272461,10.617709159851074,10.713571548461914,10.507129669189453,10.605847358703613
2021-02-25,10.69999885559082,11.337638854980467,10.889368057250977,10.903350830078123,10.58998966217041,10.730632781982422,10.835431098937988,11.008575439453123,11.052695274353027,10.875191688537598,10.94998836517334
2021-02-26,10.899999618530273,11.368441581726074,10.79701042175293,10.737998962402344,10.559341430664062,10.813543319702148,10.798398971557617,10.842406272888184,10.845687866210938,10.834219932556152,10.795345306396484
2021-03-02,10.75,11.346728324890135,10.81882095336914,10.712272644042967,10.626462936401367,10.794240951538086,10.779813766479492,10.98025608062744,10.972968101501463,10.834355354309082,10.83337688446045
2021-03-03,10.649999618530273,11.268351554870605,10.675264358520508,10.71604061126709,10.616317749023438,10.730697631835938,10.661725997924805,10.780735969543457,10.759764671325684,10.775094032287598,10.708976745605467
2021-03-04,10.949999809265137,11.31870937347412,10.759761810302734,10.660248756408693,10.568069458007812,10.751442909240724,10.708938598632812,10.72531032562256,10.77319049835205,10.811655044555664,10.81035041809082
2021-03-05,11.149999618530273,11.389437675476074,10.881657600402832,10.909293174743652,10.809500694274902,10.79730224609375,10.807870864868164,10.98521327972412,11.01994514465332,10.916372299194336,10.914815902709961
2021-03-08,10.899999618530273,11.874109268188475,11.354497909545898,11.12071704864502,11.159695625305176,11.227831840515137,11.308505058288574,11.388920783996582,11.443840026855467,11.376485824584961,11.38436222076416
