name,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_XGBTI15,GRU_F5_XGBTI15,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_Nothing,GRU_F5_Nothing
長榮(2603),48.09776776183979,48.873811126844814,33.30762965687253,28.75481871981416,36.811634513382785,17.997221838286166,30.968093695744944,21.473379999058942,27.87178876367139,15.367317078921149
新興(2605),5.739319875477985,5.862220012428832,2.7898566987894333,2.601777672103001,2.287240198109161,2.241246467923702,2.293764772289636,2.116552391371672,2.4264092116319707,2.282459826580708
裕民(2606),12.582789192476552,13.268479614090353,6.369652393863604,5.221942404877557,5.991974549569244,4.4012416214823915,3.610177219299426,4.0853042257664764,5.122410748189659,4.743515808999123
陽明(2609),36.480493637225145,39.98755146868757,26.330708562036577,14.042943758670392,27.232463268387278,15.796736387404964,22.522947011655553,12.777722307904869,24.090722592713213,12.280124913676891
萬海(2615),69.19490277695678,70.4188362584898,60.753112462063406,40.395543402185005,60.91731636894185,32.029683650726625,53.45397909285496,29.095753405109445,50.74471281726058,26.2987027272586
台航(2617),11.958136970068619,11.492741823604298,6.070705563106776,4.291319650984279,4.4423988058557455,4.395141450690982,6.100747809927242,3.8189131781494656,5.1381956348823685,3.205975264588884
台驊控股(2636),54.20987634517694,51.56872358274078,44.504727573227406,26.171773553907872,36.01641979871385,18.648631420493622,35.441065048850824,23.581030563599338,33.47202328472895,18.264668461641236
慧洋-KY(2637),26.196899183977266,22.220009468962456,16.275446759961095,11.549106077800527,12.718448269800902,7.828942657833714,13.426623959768564,7.057165240930169,13.869940307752769,7.789158245634576
四維航(5608),7.089713002410108,9.43768633727986,4.697671256524343,3.2804579005796715,3.8314895480318416,2.5371305187304585,5.183988738660001,2.8411027932454513,2.627609046248463,2.55755156046482
中菲行(5609),20.61150348537764,23.76456430489653,15.819901615034619,13.268777461479473,13.42437926833991,9.183217821819774,10.997420615438473,12.266006288858664,11.081340027350382,8.389622008546574
