date,Historical,LSTM_F5_TI189,GRU_F5_TI189,LSTM_F5_XGBTI15,GRU_F5_XGBTI15,LSTM_F5_Futures,GRU_F5_Futures,LSTM_F5_Category,GRU_F5_Category,LSTM_F5_Nothing,GRU_F5_Nothing
2021-02-04,80.9000015258789,78.98516845703125,79.76617431640625,78.09174346923828,78.87039184570312,77.88964080810547,78.71670532226562,79.1253662109375,78.76624298095703,78.15184783935547,78.70917510986328
2021-02-05,80.49999237060547,80.00016784667969,81.0450439453125,79.17296600341797,80.52229309082031,79.01903533935547,80.55638885498047,80.6478500366211,80.24229431152344,79.18142700195312,80.44892120361328
2021-02-17,79.89999389648438,79.85099029541016,80.78709411621094,79.665283203125,80.02546691894531,79.9639892578125,80.56749725341797,81.05264282226562,80.33706665039062,79.95088195800781,80.5441665649414
2021-02-18,83.5,79.58153533935547,80.23399353027344,79.78163146972656,80.01787567138672,80.45964050292969,80.3109359741211,80.92051696777344,80.1142807006836,80.36909484863281,80.41378784179688
2021-02-19,83.30000305175781,81.36392211914062,81.3558120727539,81.22992706298828,82.8641357421875,81.63125610351562,82.81253051757812,82.9971694946289,83.16140747070312,81.64959716796875,82.66126251220703
2021-02-22,82.99999237060547,81.78003692626953,81.34785461425781,82.36933898925781,83.3041763305664,83.04987335205078,83.88890075683594,84.21699523925781,83.8590087890625,83.0435791015625,83.79261779785156
2021-02-23,83.30000305175781,81.98643493652344,81.6521224975586,82.52275848388672,82.28117370605469,83.50688171386719,83.14215850830078,83.79439544677734,83.08228302001953,83.44871520996094,83.29374694824219
2021-02-24,85.39999389648438,82.94717407226562,81.37568664550781,82.9264907836914,83.56072235107422,83.90912628173828,83.79988861083984,84.19307708740234,83.98180389404297,83.86796569824219,83.7835464477539
2021-02-25,85.9000015258789,83.64578247070312,83.12872314453125,83.91065979003906,84.8270034790039,84.43547058105469,84.9775161743164,85.34278869628906,85.36903381347656,84.50130462646484,84.86124420166016
2021-02-26,88.5999984741211,83.88309478759766,83.58392333984375,85.13321685791016,86.29210662841797,85.65538024902344,86.52742767333984,86.58317565917969,86.25996398925781,85.72062683105469,86.40497589111328
2021-03-02,85.99999237060547,85.45582580566406,84.8243179321289,86.75653076171875,87.99333190917969,87.2721939086914,88.50474548339844,88.14778137207031,87.76824188232422,87.33289337158203,88.41698455810547
2021-03-03,86.30000305175781,85.21250915527344,84.32620239257812,86.71160125732422,85.8404312133789,87.65811920166016,87.05038452148438,87.38176727294922,86.26119995117188,87.69966888427734,87.1502685546875
2021-03-04,87.89999389648438,85.51814270019531,85.166015625,86.7702407836914,86.68638610839844,87.72258758544922,86.93272399902344,87.1812744140625,86.63985443115234,87.6611099243164,87.11722564697266
2021-03-05,88.30000305175781,86.14832305908203,85.71786499023438,87.27489471435547,87.54402923583984,87.7344970703125,87.87715911865234,87.80945587158203,87.48292541503906,87.7908935546875,87.89083862304688
2021-03-08,87.4000015258789,86.57434844970703,86.26919555664062,87.83261108398438,88.049072265625,87.9233627319336,88.45339965820312,88.35542297363281,87.87570190429688,88.13716888427734,88.3034896850586
2021-03-09,88.0,86.14171600341797,86.73541259765625,87.8031005859375,87.32183074951172,87.9189682006836,87.9742202758789,88.10282897949219,87.57334899902344,88.14389038085938,87.96747589111328
2021-03-10,88.49999237060547,86.86517333984375,87.89433288574219,88.30551147460938,88.81689453125,88.43534088134766,88.9437255859375,88.82672119140625,88.27003479003906,88.62046813964844,89.08023071289062
2021-03-11,88.80000305175781,87.16120147705078,88.37202453613281,88.31329345703125,87.80231475830078,88.57711029052734,88.50114440917969,88.6070556640625,88.20137023925781,88.6451644897461,88.56019592285156
2021-03-12,89.0,87.15994262695312,89.41362762451172,88.49313354492188,88.5029525756836,88.7212905883789,88.8184585571289,88.79241180419922,88.80998229980469,88.74073791503906,88.87925720214844
2021-03-15,89.5,88.12354278564453,88.4892807006836,88.94732666015625,89.39322662353516,89.19699096679688,89.693359375,89.50526428222656,89.4623031616211,89.25928497314453,89.67902374267578
2021-03-16,88.0999984741211,87.58284759521484,88.13227844238281,88.97062683105469,88.58757019042969,89.33240509033203,89.26762390136719,89.4608154296875,89.2341537475586,89.34213256835938,89.29470825195312
2021-03-17,87.89999389648438,87.12218475341797,87.90885162353516,88.60367584228516,88.12904357910156,89.01298522949219,88.5755844116211,88.87808990478516,88.32611083984375,89.04298400878906,88.7364730834961
2021-03-18,86.9000015258789,86.40662384033203,87.11600494384766,87.98760223388672,87.21021270751953,88.25334167480469,87.65708923339844,88.06787109375,87.47122192382812,88.36661529541016,87.72858428955078
2021-03-19,87.0,85.95272827148438,86.7894515991211,87.35792541503906,86.83588409423828,87.51229095458984,87.10409545898438,87.54365539550781,86.97732543945312,87.69157409667969,87.17787170410156
2021-03-22,84.19998931884766,85.74422454833984,87.29402160644531,87.13777923583984,87.23701477050781,87.21369171142578,87.2186508178711,87.5579833984375,87.22484588623047,87.35589599609375,87.3355712890625
2021-03-23,86.19999694824219,84.3134765625,84.84313201904297,85.80791473388672,84.41558837890625,86.07624816894531,85.1270751953125,85.7933349609375,84.64495849609375,86.31903839111328,85.42743682861328
2021-03-24,86.09999084472656,85.1056137084961,86.24150085449219,85.27722930908203,84.88299560546875,85.120849609375,84.815185546875,85.44346618652344,85.11283111572266,85.32514190673828,84.82542419433594
2021-03-25,85.0999984741211,85.50806427001953,86.59703063964844,85.56269073486328,86.30070495605469,85.36881256103516,86.20995330810547,86.2892074584961,85.97618103027344,85.50830841064453,86.34138488769531
2021-03-26,85.9000015258789,84.37370300292969,85.51473236083984,85.3448486328125,85.25084686279297,85.50904846191406,85.79696655273438,86.18287658691406,85.5665054321289,85.56804656982422,85.90738677978516
2021-03-29,87.19998931884766,85.0096206665039,86.17008972167969,85.28229522705078,85.40081787109375,85.56173706054688,85.59668731689453,86.19758605957031,85.5986557006836,85.56391143798828,85.68895721435547
2021-03-30,87.89999389648438,85.71379852294922,86.00806427001953,85.92007446289062,86.81502532958984,86.18406677246094,86.91549682617188,87.21875,86.92451477050781,86.17577362060547,86.83502960205078
2021-03-31,87.69999694824219,85.74629974365234,86.59410858154297,86.6312255859375,87.3779067993164,87.10810089111328,87.8795166015625,88.17237091064453,88.04440307617188,87.05792999267578,87.81813049316406
2021-04-01,87.5999984741211,85.99397277832031,86.75148010253906,86.96831512451172,87.26869201660156,87.77479553222656,87.94384002685547,88.32788848876953,87.926513671875,87.67902374267578,87.99886322021484
2021-04-07,87.0,86.02782440185547,86.32361602783203,87.06513977050781,87.19483947753906,87.98111724853516,87.68421936035156,88.23188781738281,87.92618560791016,87.885009765625,87.7314224243164
2021-04-08,87.5,85.62786102294922,85.60595703125,86.9107437133789,86.89550018310547,87.74868774414062,87.25477600097656,87.80513763427734,87.33403778076172,87.71018981933594,87.2988510131836
2021-04-09,87.29999542236328,86.00139617919922,85.84530639648438,86.98881530761719,87.2995834350586,87.59500885009766,87.44682312011719,87.91839599609375,87.54795837402344,87.62297058105469,87.47196197509766
2021-04-12,88.49999237060547,85.7071762084961,85.68138122558594,86.89999389648438,86.89677429199219,87.33740234375,87.19764709472656,87.71617126464844,87.34738159179688,87.411865234375,87.19486236572266
2021-04-13,88.5999984741211,86.72166442871094,87.2715835571289,87.42620086669922,88.1826400756836,87.67015075683594,88.22823333740234,88.62696838378906,88.95751190185547,87.74346160888672,88.17928314208984
2021-04-14,88.4000015258789,87.28016662597656,88.06694793701172,88.1892318725586,89.2127456665039,88.68112182617188,89.43242645263672,89.66270446777344,89.98633575439453,88.66898345947266,89.4933853149414
2021-04-15,88.30000305175781,87.47565460205078,87.45121765136719,88.29800415039062,88.24583435058594,89.11884307861328,88.95032501220703,89.14900207519531,89.14315032958984,89.0205307006836,89.1197509765625
2021-04-16,90.0999984741211,87.35743713378906,87.92611694335938,88.10025024414062,87.80233764648438,88.85220336914062,88.35393524169922,88.6412124633789,88.55819702148438,88.83818054199219,88.4439697265625
2021-04-19,92.0,88.6270980834961,89.26180267333984,88.89972686767578,89.86809539794922,89.26541900634766,89.93392181396484,89.91177368164062,90.24761962890624,89.37201690673828,89.80064392089844
2021-04-20,95.19998931884766,89.673583984375,90.51410675048828,90.09310150146484,91.00101470947266,90.38737487792969,91.60552978515624,90.95513153076172,91.23976135253906,90.46290588378906,91.4421157836914
